date,price,,,,,,,,
20200814,362500,,,,,,,,
20200813,360500,,,,,,,,
20200812,354000,,,,,,,,
20200811,352500,,,,,,,,
20200810,356000,,,,,,,,
20200807,353000,,,,,,,,
20200806,364000,,,,,,,,
20200805,370500,,,,,,,,
20200804,370000,,,,,,,,
20200803,366000,,,,,,,,
20200731,343500,,,,,,,,
20200730,332000,,,,,,,,
20200729,331500,,,,,,,,
20200728,329500,,,,,,,,
20200727,326500,,,,,,,,
20200724,324500,,,,,,,,
20200723,329500,,,,,,,,
20200722,318000,,,,,,,,
20200721,316000,,,,,,,,
20200720,310000,,,,,,,,
20200717,325000,,,,,,,,
20200716,322000,,,,,,,,
20200715,337500,,,,,,,,
20200714,343000,,,,,,,,
20200713,352000,,,,,,,,
20200710,355500,,,,,,,,
20200709,355500,,,,,,,,
20200708,328000,,,,,,,,
20200707,310500,,,,,,,,
20200706,300500,,,,,,,,
20200703,294000,,,,,,,,
20200702,285500,,,,,,,,
20200701,269500,,,,,,,,
20200630,267500,,,,,,,,
20200629,267500,,,,,,,,
20200626,274500,,,,,,,,
20200625,274500,,,,,,,,
20200624,282500,,,,,,,,
20200623,281500,,,,,,,,
20200622,274000,,,,,,,,
20200619,263500,,,,,,,,
20200618,263500,,,,,,,,
20200617,263000,,,,,,,,
20200616,263000,,,,,,,,
20200615,252500,,,,,,,,
20200612,266000,,,,,,,,
20200611,265000,,,,,,,,
20200610,262000,,,,,,,,
20200609,254500,,,,,,,,
20200608,256500,,,,,,,,
20200605,251000,,,,,,,,
20200604,254000,,,,,,,,
20200603,249500,,,,,,,,
20200602,259500,,,,,,,,
20200601,264000,,,,,,,,
20200529,263500,,,,,,,,
20200528,267000,,,,,,,,
20200527,260500,,,,,,,,
20200526,270000,,,,,,,,
20200525,268000,,,,,,,,
20200522,247000,,,,,,,,
20200521,237500,,,,,,,,
20200520,231500,,,,,,,,
20200519,220000,,,,,,,,
20200518,221000,,,,,,,,
20200515,221500,,,,,,,,
20200514,225000,,,,,,,,
20200513,216500,,,,,,,,
20200512,214500,,,,,,,,
20200511,207500,,,,,,,,
20200508,206000,,,,,,,,
20200507,206000,,,,,,,,
20200506,199500,,,,,,,,
20200504,186500,,,,,,,,
20200429,184000,,,,,,,,
20200428,185000,,,,,,,,
20200427,184000,,,,,,,,
20200424,183000,,,,,,,,
20200423,185500,,,,,,,,
20200422,177000,,,,,,,,
20200421,175500,,,,,,,,
20200420,175000,,,,,,,,
20200417,172000,,,,,,,,
20200416,165500,,,,,,,,
20200414,159500,,,,,,,,
20200413,157500,,,,,,,,
20200410,161000,,,,,,,,
20200409,158000,,,,,,,,
20200408,158000,,,,,,,,
20200407,160000,,,,,,,,
20200406,160500,,,,,,,,
20200403,157500,,,,,,,,
20200402,157000,,,,,,,,
20200401,150500,,,,,,,,
20200331,155500,,,,,,,,
20200330,153000,,,,,,,,
20200327,152500,,,,,,,,
20200326,150500,,,,,,,,
20200325,154500,,,,,,,,
20200324,154500,,,,,,,,
20200323,143500,,,,,,,,
20200320,149500,,,,,,,,
20200319,134000,,,,,,,,
20200318,141000,,,,,,,,
20200317,147500,,,,,,,,
20200316,147500,,,,,,,,
20200313,159000,,,,,,,,
20200312,161000,,,,,,,,
20200311,169000,,,,,,,,
20200310,173000,,,,,,,,
20200309,167500,,,,,,,,
20200306,175500,,,,,,,,
20200305,179500,,,,,,,,
20200304,179500,,,,,,,,
20200303,175000,,,,,,,,
20200302,175000,,,,,,,,
20200228,172000,,,,,,,,
20200227,178500,,,,,,,,
20200226,184000,,,,,,,,
20200225,185500,,,,,,,,
20200224,183500,,,,,,,,
20200221,189500,,,,,,,,
20200220,190500,,,,,,,,
20200219,190000,,,,,,,,
20200218,182000,,,,,,,,
20200217,180500,,,,,,,,
20200214,180000,,,,,,,,
20200213,179000,,,,,,,,
20200212,172000,,,,,,,,
20200211,170000,,,,,,,,
20200210,169000,,,,,,,,
20200207,167500,,,,,,,,
20200206,166000,,,,,,,,
20200205,163000,,,,,,,,
20200204,164500,,,,,,,,
20200203,159500,,,,,,,,
20200131,159000,,,,,,,,
20200130,162000,,,,,,,,
20200129,163500,,,,,,,,
20200128,162500,,,,,,,,
20200123,165500,,,,,,,,
20200122,166000,,,,,,,,
20200121,165000,,,,,,,,
20200120,168500,,,,,,,,
20200117,168500,,,,,,,,
20200116,171500,,,,,,,,
20200115,170000,,,,,,,,
20200114,167000,,,,,,,,
20200113,167000,,,,,,,,
20200110,165000,,,,,,,,
20200109,164000,,,,,,,,
20200108,159500,,,,,,,,
20200107,160000,,,,,,,,
20200106,154500,,,,,,,,
20200103,152500,,,,,,,,
20200102,152500,,,,,,,,
