date,price,,,,,,,,
20200814,3095,,,,,,,,
20200813,3135,,,,,,,,
20200812,3095,,,,,,,,
20200811,3135,,,,,,,,
20200810,3120,,,,,,,,
20200807,3160,,,,,,,,
20200806,3210,,,,,,,,
20200805,3215,,,,,,,,
20200804,3135,,,,,,,,
20200803,3185,,,,,,,,
20200731,3265,,,,,,,,
20200730,3280,,,,,,,,
20200729,3280,,,,,,,,
20200728,3325,,,,,,,,
20200727,3325,,,,,,,,
20200724,3330,,,,,,,,
20200723,3400,,,,,,,,
20200722,3470,,,,,,,,
20200721,3485,,,,,,,,
20200720,3430,,,,,,,,
20200717,3450,,,,,,,,
20200716,3440,,,,,,,,
20200715,3480,,,,,,,,
20200714,3340,,,,,,,,
20200713,3350,,,,,,,,
20200710,3435,,,,,,,,
20200709,3480,,,,,,,,
20200708,3500,,,,,,,,
20200707,3475,,,,,,,,
20200706,3600,,,,,,,,
20200703,3690,,,,,,,,
20200702,3700,,,,,,,,
20200701,79,,,,,,,,
20200630,79,,,,,,,,
20200629,79,,,,,,,,
20200626,79,,,,,,,,
20200625,79,,,,,,,,
20200624,79,,,,,,,,
20200623,79,,,,,,,,
20200622,79,,,,,,,,
20200619,79,,,,,,,,
20200618,79,,,,,,,,
20200617,79,,,,,,,,
20200616,79,,,,,,,,
20200615,79,,,,,,,,
20200612,79,,,,,,,,
20200611,79,,,,,,,,
20200610,80,,,,,,,,
20200609,80,,,,,,,,
20200608,82,,,,,,,,
20200605,82,,,,,,,,
20200604,83,,,,,,,,
20200603,83,,,,,,,,
20200602,81,,,,,,,,
20200601,81,,,,,,,,
20200529,80,,,,,,,,
20200528,81,,,,,,,,
20200527,82,,,,,,,,
20200526,81,,,,,,,,
20200525,82,,,,,,,,
20200522,82,,,,,,,,
20200521,82,,,,,,,,
20200520,81,,,,,,,,
20200519,82,,,,,,,,
20200518,83,,,,,,,,
20200515,81,,,,,,,,
20200514,84,,,,,,,,
20200513,80,,,,,,,,
20200512,80,,,,,,,,
20200511,80,,,,,,,,
20200508,83,,,,,,,,
20200507,83,,,,,,,,
20200506,84,,,,,,,,
20200504,84,,,,,,,,
20200429,80,,,,,,,,
20200428,74,,,,,,,,
20200427,74,,,,,,,,
20200424,74,,,,,,,,
20200423,75,,,,,,,,
20200422,73,,,,,,,,
20200421,78,,,,,,,,
20200420,83,,,,,,,,
20200417,84,,,,,,,,
20200416,110,,,,,,,,
20200414,109,,,,,,,,
20200413,105,,,,,,,,
20200410,109,,,,,,,,
20200409,111,,,,,,,,
20200408,110,,,,,,,,
20200407,110,,,,,,,,
20200406,108,,,,,,,,
20200403,106,,,,,,,,
20200402,108,,,,,,,,
20200401,108,,,,,,,,
20200331,113,,,,,,,,
20200330,107,,,,,,,,
20200327,104,,,,,,,,
20200326,104,,,,,,,,
20200325,99,,,,,,,,
20200324,93,,,,,,,,
20200323,90,,,,,,,,
20200320,93,,,,,,,,
20200319,88,,,,,,,,
20200318,96,,,,,,,,
20200317,100,,,,,,,,
20200316,99,,,,,,,,
20200313,98,,,,,,,,
20200312,104,,,,,,,,
20200311,108,,,,,,,,
20200310,111,,,,,,,,
20200309,111,,,,,,,,
20200306,114,,,,,,,,
20200305,117,,,,,,,,
20200304,118,,,,,,,,
20200303,112,,,,,,,,
20200302,111,,,,,,,,
20200228,105,,,,,,,,
20200227,110,,,,,,,,
20200226,112,,,,,,,,
20200225,113,,,,,,,,
20200224,109,,,,,,,,
20200221,117,,,,,,,,
20200220,120,,,,,,,,
20200219,122,,,,,,,,
20200218,123,,,,,,,,
20200217,125,,,,,,,,
20200214,125,,,,,,,,
20200213,126,,,,,,,,
20200212,125,,,,,,,,
20200211,125,,,,,,,,
20200210,126,,,,,,,,
20200207,127,,,,,,,,
20200206,129,,,,,,,,
20200205,128,,,,,,,,
20200204,125,,,,,,,,
20200203,124,,,,,,,,
20200131,125,,,,,,,,
20200130,126,,,,,,,,
20200129,128,,,,,,,,
20200128,129,,,,,,,,
20200123,131,,,,,,,,
20200122,131,,,,,,,,
20200121,132,,,,,,,,
20200120,133,,,,,,,,
20200117,136,,,,,,,,
20200116,135,,,,,,,,
20200115,136,,,,,,,,
20200114,137,,,,,,,,
20200113,133,,,,,,,,
20200110,132,,,,,,,,
20200109,132,,,,,,,,
20200108,128,,,,,,,,
20200107,134,,,,,,,,
20200106,132,,,,,,,,
20200103,137,,,,,,,,
20200102,140,,,,,,,,
